symbol,pattern,entry_date,entry_price,exit_date,exit_price,exit_reason,pnl_pct,days_held
PANW,Double Bottom,2021-08-30 00:00:00-04:00,77.16666412353516,2021-08-30 00:00:00-04:00,352.22200561523437,LOSS (Stop Hit),356.44321886373956,0
ZS,Double Bottom,2021-08-30 00:00:00-04:00,275.6499938964844,2021-08-30 00:00:00-04:00,166.45499420166016,WIN (T1 Hit),-39.61364125254816,0
SNOW,Double Bottom,2021-08-30 00:00:00-04:00,293.739990234375,2021-08-30 00:00:00-04:00,304.3301217215402,LOSS (Stop Hit),3.6052739971548764,0
V,Double Bottom,2021-08-30 00:00:00-04:00,224.03973353648297,2021-08-30 00:00:00-04:00,367.58854471258013,LOSS (Stop Hit),64.07292532898923,0
GILD,Double Bottom,2021-08-30 00:00:00-04:00,59.40641820006185,2021-08-30 00:00:00-04:00,141.73285566057478,LOSS (Stop Hit),138.5817222362469,0
UNP,Double Bottom,2021-08-30 00:00:00-04:00,197.6798052317354,2021-08-30 00:00:00-04:00,296.4157191685268,LOSS (Stop Hit),49.94739539582487,0
CVX,Double Bottom,2021-08-30 00:00:00-04:00,81.09123596588991,2021-08-30 00:00:00-04:00,192.0486822165169,LOSS (Stop Hit),136.8303799159011,0
PANW,Double Bottom,2021-09-07 00:00:00-04:00,78.33333587646484,2021-09-07 00:00:00-04:00,352.22200561523437,LOSS (Stop Hit),349.64509895340615,0
ZS,Double Bottom,2021-09-07 00:00:00-04:00,293.44000244140625,2021-09-07 00:00:00-04:00,166.45499420166016,WIN (T1 Hit),-43.274607137144606,0
SNOW,Double Bottom,2021-09-07 00:00:00-04:00,308.4800109863281,2021-09-07 00:00:00-04:00,304.3301217215402,LOSS (Stop Hit),-1.3452700716390513,0
V,Double Bottom,2021-09-07 00:00:00-04:00,218.31089674358097,2021-09-07 00:00:00-04:00,367.58854471258013,LOSS (Stop Hit),68.37846859487485,0
GILD,Double Bottom,2021-09-07 00:00:00-04:00,59.223095527383,2021-09-07 00:00:00-04:00,141.73285566057478,LOSS (Stop Hit),139.32024221030747,0
UNP,Double Bottom,2021-09-07 00:00:00-04:00,192.7072854172766,2021-09-07 00:00:00-04:00,296.4157191685268,LOSS (Stop Hit),53.816560970534276,0
CVX,Double Bottom,2021-09-07 00:00:00-04:00,79.39724991139704,2021-09-07 00:00:00-04:00,192.0486822165169,LOSS (Stop Hit),141.88329247024635,0
PANW,Double Bottom,2021-09-13 00:00:00-04:00,78.6683349609375,2021-09-13 00:00:00-04:00,352.22200561523437,LOSS (Stop Hit),347.73034257065314,0
