idx,symbol,date,detected,classification,quality_score,convergence_ratio,convergence_pct,up_slope,lo_slope,upper_descending,lower_descending,converging,n_peaks,n_troughs,n_touch,duration,price_change_pct,pnl_pct,chart
0,PNW,2025-07-15 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.17468987760760807,82.5310122392392,-0.07304918124274375,0.027852981676036438,True,False,True,6.0,7.0,13.0,50.0,-1.3100180501970495,-1.3633541108540232,wedge_audit/wedge_000_PNW.png
1,MPWR,2022-06-07 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.28469699321936015,71.53030067806398,-1.488066338423181,-0.37315994331529645,True,True,True,8.0,10.0,18.0,111.0,-20.962046598935927,-7.999999999999992,wedge_audit/wedge_001_MPWR.png
2,PEG,2021-12-21 05:00:00+00:00,True,PROBABLY_VALID,4.0,0.49114068848535913,50.88593115146409,0.06779377437063903,0.08674258123235606,False,False,True,14.0,12.0,26.0,116.0,19.14926577608467,5.3257815265377735,wedge_audit/wedge_002_PEG.png
3,AVGO,2026-02-10 05:00:00+00:00,True,CLEARLY_VALID,6.0,0.4030894917325906,59.691050826740934,-1.1909923475219466,-0.7804761133872427,True,True,True,12.0,12.0,24.0,113.0,-26.108536759158348,-7.9999999999999964,wedge_audit/wedge_003_AVGO.png
4,CL,2023-07-05 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.11928346167783639,88.07165383221636,-0.1501551966236227,0.020007491810385785,True,False,True,3.0,4.0,7.0,34.0,-3.073518095166861,-1.356382449766421,wedge_audit/wedge_004_CL.png
5,MSCI,2023-05-23 04:00:00+00:00,False,NOT_DETECTED,,,,,,,,,,,,,,9.127563134628724,
6,HWM,2023-04-11 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.4371173741403928,56.288262585960716,-0.0847555027250899,-0.04547961107533747,True,True,True,13.0,11.0,24.0,108.0,-15.07175555153975,6.3561152652551485,wedge_audit/wedge_006_HWM.png
7,NOC,2022-08-02 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.2685382310816351,73.14617689183649,-0.6398060241477602,-0.15715323793064828,True,True,True,12.0,11.0,23.0,113.0,-9.64104596605291,3.5170418227989004,wedge_audit/wedge_007_NOC.png
8,FFIV,2025-12-30 05:00:00+00:00,True,CLEARLY_VALID,6.0,0.03486557303179247,96.51344269682075,-1.351371651400966,0.46204759736342377,True,False,True,6.0,8.0,14.0,76.0,-11.890184180825965,8.345356051929663,wedge_audit/wedge_008_FFIV.png
9,TKO,2022-05-24 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.2222597643083555,77.77402356916446,-0.08460349506958033,0.039263460931463295,True,False,True,7.0,6.0,13.0,65.0,-2.598657348568877,6.753789338454146,wedge_audit/wedge_009_TKO.png
10,KO,2025-10-07 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.20206397530281064,79.79360246971893,-0.16961103920559525,-0.10700010405272721,True,True,True,4.0,3.0,7.0,33.0,-6.700741707321479,2.023578777449449,wedge_audit/wedge_010_KO.png
11,NWSA,2026-03-10 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.22187427494378842,77.81257250562116,-0.11363022360471299,-0.08012364714011952,True,True,True,15.0,12.0,27.0,115.0,-32.956326367118535,4.940518528731911,wedge_audit/wedge_011_NWSA.png
12,NSC,2025-01-14 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.2170066011267545,78.29933988732455,-1.0737265693185367,-0.5678656544413593,True,True,True,5.0,5.0,10.0,56.0,-17.1496151909627,5.883047106864805,wedge_audit/wedge_012_NSC.png
13,V,2022-03-29 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.4486691717578608,55.13308282421392,-0.46001472064059173,-0.28111197487568296,True,True,True,13.0,13.0,26.0,106.0,-16.28206887715946,-4.837695745530455,wedge_audit/wedge_013_V.png
14,AXP,2025-05-06 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.2230561553435355,77.69438446564645,-0.4832816926379113,0.05505388047290132,True,False,True,14.0,14.0,28.0,107.0,-8.441540105100392,8.864741277993861,wedge_audit/wedge_014_AXP.png
15,IVZ,2024-05-07 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.28782809594633896,71.21719040536611,-0.05790021382378974,-0.036269602400564184,True,True,True,6.0,5.0,11.0,52.0,-15.728960975465,4.27801401502513,wedge_audit/wedge_015_IVZ.png
16,HIG,2022-01-04 05:00:00+00:00,True,CLEARLY_VALID,5.0,0.6783253490301101,32.16746509698899,-0.15242973028479595,-0.12316389586057988,True,True,True,6.0,5.0,11.0,49.0,-10.128218022548566,4.237641201460972,wedge_audit/wedge_016_HIG.png
17,CPRT,2022-01-04 05:00:00+00:00,True,BORDERLINE,2.0,29.725788825868587,-2872.5788825868585,0.014723333314408171,-0.1250489453280269,False,True,False,5.0,3.0,8.0,33.0,-4.8567047767977485,-4.344796033857096,wedge_audit/wedge_017_CPRT.png
18,META,2022-03-29 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.21947350674895663,78.05264932510434,-2.4709661799240337,-1.316711623841311,True,True,True,4.0,7.0,11.0,70.0,-42.834880712239524,-7.999999999999999,wedge_audit/wedge_018_META.png
19,FISV,2023-04-11 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.29456276890218086,70.54372310978192,-0.17290236310261028,-0.04234208371702873,True,True,True,9.0,10.0,19.0,74.0,-6.701243566371966,3.862383958642417,wedge_audit/wedge_019_FISV.png
20,GOOGL,2023-04-11 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.15838039662407924,84.16196033759208,-0.013149351485665756,0.2597173901838448,True,False,True,5.0,5.0,10.0,54.0,7.175464823222716,8.681254672821206,wedge_audit/wedge_020_GOOGL.png
21,MU,2024-09-24 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.1651950655527896,83.48049344472103,-0.6442819952300196,-0.029076307214546775,True,True,True,5.0,2.0,7.0,56.0,-17.850072013189727,15.91962179332056,wedge_audit/wedge_021_MU.png
